"filename", "language", "JavaScript React", "JavaScript", "CSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10brands2.js", "JavaScript", 0, 146, 0, 0, 0, 0, 0, 2, 148
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content2.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 3, 62
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content3.js", "JavaScript", 0, 124, 0, 0, 0, 0, 0, 2, 126
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content5.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 2, 63
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content6.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 2, 66
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10content7.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 2, 67
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10cta11.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 2, 48
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10features4.js", "JavaScript", 0, 193, 0, 0, 0, 0, 0, 2, 195
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10hero10.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 3, 45
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10newsletter2.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 2, 55
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10reviews4.js", "JavaScript", 0, 372, 0, 0, 0, 0, 0, 3, 375
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo10/Demo10statistic2.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 3, 56
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11brands2.js", "JavaScript", 0, 146, 0, 0, 0, 0, 0, 2, 148
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11content3.js", "JavaScript", 0, 124, 0, 0, 0, 0, 0, 2, 126
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11content5.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 2, 63
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11content7.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 2, 67
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11content9.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 3, 40
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11cta9.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 2, 57
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11features4.js", "JavaScript", 0, 148, 0, 0, 0, 0, 0, 2, 150
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11features8.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 2, 94
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11hero11.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 2, 72
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11reviews1.js", "JavaScript", 0, 402, 0, 0, 0, 0, 0, 3, 405
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo11/Demo11statistic2.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 3, 56
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12blog1.js", "JavaScript", 0, 146, 0, 0, 0, 0, 0, 2, 148
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12brands2.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 2, 136
